followers_following_ratio,account_age_days,repos_per_year,avg_stars_per_repo,avg_forks_per_repo,active_repo_ratio,churn
0.75,2104,5.7287,0.0909,0.0,0.0303,0
0.75,4374,0.9186,0.0,0.0,0.2727,0
7.5,2864,0.0,0.0,0.0,0.0,1
0.5556,4448,2.7098,0.1212,0.0,0.1212,0
1.25,3374,2.1651,0.05,0.0,0.0,0
15.0,991,1.4743,4.25,0.5,0.25,1
3.0,4266,1.2843,0.0667,0.0,0.0667,0
3.75,1814,1.8122,3.0,0.4444,0.4444,0
1.3636,5142,0.3552,0.0,0.0,0.0,1
1.0,4918,2.5994,0.0,0.0,0.0286,0
15.0,2121,0.0,0.0,0.0,0.0,0
1.875,4454,0.82,0.3,0.0,0.0,0
1.875,1332,10.6943,0.0256,0.0513,0.0256,0
0.8824,4256,3.1753,0.2703,0.027,0.0,0
0.8333,2826,1.6802,0.2308,0.2308,0.0,0
1.3636,4469,1.7163,0.0,0.0,0.0,1
0.875,5401,0.8791,0.0769,0.0,0.0,1
1.0769,5226,2.3763,0.3235,0.0882,0.0588,0
1.0,3287,0.2222,3.0,0.0,0.0,1
0.6667,2824,3.3628,0.0385,0.0,0.0,0
0.5185,420,13.0446,0.0,0.1333,0.4,0
3.5,4809,0.2279,0.3333,0.0,0.0,1
1.5556,4011,0.1821,0.0,0.0,0.0,0
3.5,4933,0.0,0.0,0.0,0.0,1
4.6667,4171,0.9633,0.0909,0.1818,0.0909,0
0.6087,4188,7.2387,0.5181,0.0,0.0723,0
2.0,2866,0.6372,1.6,1.2,0.2,0
2.8,4663,0.3916,0.2,0.0,0.0,1
2.0,3812,1.2456,0.1538,0.0,0.0,0
1.75,3823,0.0955,44.0,14.0,0.0,1
0.6667,3717,1.3757,0.0,0.0,0.0,0
1.75,6042,1.2695,0.0,0.0,0.5714,0
1.2727,3839,0.2854,1.6667,0.0,0.0,1
1.2727,2245,8.4601,0.2115,0.0385,0.0,0
1.0769,4238,4.1369,0.5833,0.1458,0.0417,0
0.7,199,11.0126,0.0,0.0,1.0,0
4.6667,3961,0.1844,0.0,0.5,0.0,1
0.359,1855,4.1349,0.1429,0.0476,0.0476,0
0.875,1222,7.4724,0.56,0.04,0.12,0
0.6364,3740,0.586,0.0,0.0,0.0,0
1.5556,1611,1.5871,2.1429,0.0,0.5714,0
0.875,4030,0.0,0.0,0.0,0.0,0
0.4375,2209,1.9842,0.0833,0.0833,0.0,0
0.6667,1427,3.8393,0.0,0.0,0.0667,0
2.0,2324,0.1572,0.0,0.0,0.0,1
2.3333,4911,1.1156,0.2667,0.0,0.0,1
0.4667,3846,0.095,0.0,0.0,0.0,0
0.4516,1916,0.1906,0.0,0.0,0.0,0
0.8235,5747,0.8262,0.0,0.0,0.0,0
0.3333,4132,4.3314,0.0408,0.0,0.0408,0
1.0769,993,12.506,0.1176,0.1765,0.0,0
1.0,744,15.2188,0.1613,0.0968,0.129,0
1.75,1470,20.126,0.1728,0.0988,0.5062,0
4.3333,2388,0.0,0.0,0.0,0.0,1
1.0,1727,10.3632,0.102,0.0,0.0204,0
0.7647,2061,1.2405,0.0,0.0,0.1429,0
0.9286,5227,2.2361,0.0,0.0625,0.0312,0
0.8125,2585,1.2717,0.0,0.3333,0.0,0
13.0,5913,1.8531,0.3667,0.0333,0.0667,0
1.1818,4030,3.9878,0.2955,0.0682,0.1818,0
0.3611,1634,0.2235,0.0,0.0,0.0,1
2.1667,4497,0.3249,0.0,0.0,0.25,0
13.0,660,2.2136,3.0,0.5,1.0,1
0.5652,1183,2.7787,0.0,0.0,1.0,0
0.8667,2534,0.0,0.0,0.0,0.0,1
3.25,3008,0.7286,0.5,0.1667,0.0,1
0.619,3985,2.2914,0.12,0.0,0.04,0
0.2955,2704,21.7475,0.087,0.0,0.0186,0
0.9286,3090,12.175,0.0583,0.0388,0.2913,0
0.325,3781,0.0966,1.0,0.0,0.0,1
0.8125,5090,0.6458,0.1111,0.3333,0.0,0
1.1818,2404,3.1906,0.0,0.0476,0.1429,0
1.3,2631,0.0,0.0,0.0,0.0,1
1.0,3022,5.6806,0.0,0.1064,0.0,0
4.3333,4535,0.4832,0.1667,0.3333,0.1667,0
6.5,3964,0.5529,1.0,0.5,0.0,0
4.3333,4342,2.103,0.0,0.12,0.04,0
2.1667,4280,2.7308,0.0,0.0,0.0625,0
2.1667,5642,1.5537,0.0,0.2083,0.0,0
1.1818,1345,7.0606,0.0385,0.0,0.0,1
0.4062,2536,4.8969,0.3529,0.0,0.0,0
1.0,2588,6.6332,0.7872,0.0851,0.0213,0
0.9286,2289,11.6484,0.0,0.0,0.0,1
2.1667,4338,0.1684,0.0,0.0,0.0,0
0.325,2911,16.8133,0.0075,0.097,0.0597,0
0.7647,3011,0.2426,0.0,0.0,0.5,0
0.9286,2404,0.3039,0.0,0.0,0.0,0
1.0,2558,3.7125,0.1923,0.1154,0.0385,0
1.0833,4090,1.7861,0.0,0.05,0.0,0
0.2549,3127,0.4672,0.5,0.0,0.0,0
1.3,2868,0.7641,0.1667,0.0,0.0,1
1.4444,4703,1.1649,0.0667,0.0,0.1333,0
0.7222,5508,0.4642,1.0,0.4286,0.0,0
0.1781,5058,12.1317,0.0774,0.0952,0.2143,0
12.0,1547,0.0,0.0,0.0,0.0,1
1.0909,770,11.3844,0.0,0.0,0.0,0
1.5,2459,1.0398,0.2857,0.0,0.1429,0
2.0,1643,0.2223,0.0,0.0,0.0,0
1.0,2028,3.9623,0.0455,0.0,0.0455,0
0.24,1369,9.0712,0.1765,0.0294,0.0294,0
0.4138,1850,3.7512,0.3684,0.0,0.0,1
12.0,1153,0.3168,0.0,0.0,1.0,0
1.2,3805,0.192,0.0,0.0,0.5,0
12.0,1861,1.9627,2.3,0.3,0.2,1
0.7059,5106,0.9299,0.0,0.0,0.0,0
1.2,2758,1.3243,0.5,0.2,0.0,0
3.0,3260,1.4565,0.5385,0.1538,0.1538,0
2.0,3593,0.8132,0.0,0.0,0.375,0
12.0,4153,1.9349,2.0909,1.0909,0.0,1
12.0,4129,2.123,0.625,0.125,0.0,0
0.5,2574,2.2704,0.0625,0.0,0.0,0
0.7059,1663,5.4908,1.88,0.0,0.08,0
6.0,1142,5.4372,1.1765,0.0,0.8235,0
1.0909,3704,1.3805,0.0,0.1429,0.0,0
1.0909,5523,0.2645,0.0,0.0,0.0,1
