days_since_last_activity,account_age_days,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,churn
303,5401,0.8791,0.875,0.0,1.0,1
1,5226,2.3763,1.0769,0.0588,0.9412,0
1860,3287,0.2222,1.0,0.0,1.0,1
19,2824,3.3628,0.6667,0.0,1.0,0
40,420,13.0446,0.5185,0.4,0.6,0
3761,4809,0.2279,3.5,0.0,1.0,1
53,4011,0.1821,1.5556,0.0,1.0,0
246,4933,0.0,3.5,0.0,0.0,1
73,4171,0.9633,4.6667,0.0909,0.9091,0
26,4188,7.2387,0.6087,0.0723,0.9277,0
3,2866,0.6372,2.0,0.2,0.8,0
3227,4663,0.3916,2.8,0.0,1.0,1
86,3812,1.2456,2.0,0.0,1.0,0
270,3823,0.0955,1.75,0.0,1.0,1
12,3717,1.3757,0.6667,0.0,1.0,0
60,6042,1.2695,1.75,0.5714,0.4286,0
182,3839,0.2854,1.2727,0.0,1.0,1
30,2245,8.4601,1.2727,0.0,1.0,0
18,4238,4.1369,1.0769,0.0417,0.9583,0
2,199,11.0126,0.7,1.0,0.0,0
3264,3961,0.1844,4.6667,0.0,1.0,1
4,1855,4.1349,0.359,0.0476,0.9524,0
93,1222,7.4724,0.875,0.12,0.88,0
34,3740,0.586,0.6364,0.0,1.0,0
33,1611,1.5871,1.5556,0.5714,0.4286,0
97,4030,0.0,0.875,0.0,0.0,0
115,2209,1.9842,0.4375,0.0,1.0,0
4,1427,3.8393,0.6667,0.0667,0.9333,0
794,2324,0.1572,2.0,0.0,1.0,1
242,4911,1.1156,2.3333,0.0,1.0,1
89,3846,0.095,0.4667,0.0,1.0,0
46,1916,0.1906,0.4516,0.0,1.0,0
47,5747,0.8262,0.8235,0.0,1.0,0
29,4132,4.3314,0.3333,0.0408,0.9592,0
13,993,12.506,1.0769,0.0,1.0,0
14,744,15.2188,1.0,0.129,0.871,0
15,1470,20.126,1.75,0.5062,0.4938,0
1462,2388,0.0,4.3333,0.0,0.0,1
25,1727,10.3632,1.0,0.0204,0.9796,0
40,2061,1.2405,0.7647,0.1429,0.8571,0
1,5227,2.2361,0.9286,0.0312,0.9688,0
12,2585,1.2717,0.8125,0.0,1.0,0
24,5913,1.8531,13.0,0.0667,0.9333,0
6,4030,3.9878,1.1818,0.1818,0.8182,0
767,1634,0.2235,0.3611,0.0,1.0,1
29,4497,0.3249,2.1667,0.25,0.75,0
563,660,2.2136,13.0,1.0,0.0,1
27,1183,2.7787,0.5652,1.0,0.0,0
1487,2534,0.0,0.8667,0.0,0.0,1
890,3008,0.7286,3.25,0.0,1.0,1
55,3985,2.2914,0.619,0.04,0.96,0
21,2704,21.7475,0.2955,0.0186,0.9814,0
18,3090,12.175,0.9286,0.2913,0.7087,0
3735,3781,0.0966,0.325,0.0,1.0,1
18,5090,0.6458,0.8125,0.0,1.0,0
23,2404,3.1906,1.1818,0.1429,0.8571,0
1683,2631,0.0,1.3,0.0,0.0,1
7,3022,5.6806,1.0,0.0,1.0,0
2,4535,0.4832,4.3333,0.1667,0.8333,0
23,3964,0.5529,6.5,0.0,1.0,0
5,4342,2.103,4.3333,0.04,0.96,0
26,4280,2.7308,2.1667,0.0625,0.9375,0
96,5642,1.5537,2.1667,0.0,1.0,0
1063,1345,7.0606,1.1818,0.0,1.0,1
94,2536,4.8969,0.4062,0.0,1.0,0
26,2588,6.6332,1.0,0.0213,0.9787,0
247,2289,11.6484,0.9286,0.0,1.0,1
120,4338,0.1684,2.1667,0.0,1.0,0
14,2911,16.8133,0.325,0.0597,0.9403,0
31,3011,0.2426,0.7647,0.5,0.5,0
17,2404,0.3039,0.9286,0.0,1.0,0
7,2558,3.7125,1.0,0.0385,0.9615,0
94,4090,1.7861,1.0833,0.0,1.0,0
2,3127,0.4672,0.2549,0.0,1.0,0
293,2868,0.7641,1.3,0.0,1.0,1
109,4703,1.1649,1.4444,0.1333,0.8667,0
4,5508,0.4642,0.7222,0.0,1.0,0
75,5058,12.1317,0.1781,0.2143,0.7857,0
1271,1547,0.0,12.0,0.0,0.0,1
146,770,11.3844,1.0909,0.0,1.0,0
58,2459,1.0398,1.5,0.1429,0.8571,0
124,1643,0.2223,2.0,0.0,1.0,0
4,2028,3.9623,1.0,0.0455,0.9545,0
24,1369,9.0712,0.24,0.0294,0.9706,0
520,1850,3.7512,0.4138,0.0,1.0,1
14,1153,0.3168,12.0,1.0,0.0,0
6,3805,0.192,1.2,0.5,0.5,0
493,1861,1.9627,12.0,0.2,0.8,1
77,5106,0.9299,0.7059,0.0,1.0,0
9,2758,1.3243,1.2,0.0,1.0,0
18,3260,1.4565,3.0,0.1538,0.8462,0
104,3593,0.8132,2.0,0.375,0.625,0
3207,4153,1.9349,12.0,0.0,1.0,1
17,4129,2.123,12.0,0.0,1.0,0
14,2574,2.2704,0.5,0.0,1.0,0
25,1663,5.4908,0.7059,0.08,0.92,0
51,1142,5.4372,6.0,0.8235,0.1765,0
21,3704,1.3805,1.0909,0.0,1.0,0
231,5523,0.2645,1.0909,0.0,1.0,1
299,2289,1.4361,0.8,0.0,1.0,1
2124,4593,1.3519,4.0,0.0,1.0,1
133,3879,2.7307,6.0,0.0345,0.9655,0
18,4346,2.8575,0.8,0.0,1.0,0
48,2115,3.972,0.6,0.0435,0.9565,0
106,3583,0.0,0.2927,0.0,0.0,0
83,3562,0.9229,6.0,0.0,1.0,0
108,422,13.8483,1.3333,0.75,0.25,0
11,3688,2.8721,0.4138,0.1379,0.8621,0
194,4156,0.3515,1.5,0.0,1.0,1
5,4525,23.8926,416.0833,0.0338,0.9662,0
130,5441,19.5346,104.9783,0.0,1.0,0
10,4823,6.3614,3870.0,0.0238,0.9762,0
20,2774,33.1806,49.4808,0.1825,0.8175,0
502,2469,1.4793,2516.0,0.0,1.0,1
49,2369,14.0303,0.4916,0.2637,0.7363,0
23,764,0.9562,0.592,0.5,0.5,0
3,3250,1.9105,381.5,0.0588,0.9412,0
1643,1645,11.1018,1496.0,0.0,1.0,1
525,739,1054.7273,1415.0,0.1026,0.8974,1
59,2231,2.6195,688.0,0.0,1.0,0
66,5139,0.2843,7.5774,0.25,0.75,0
2558,3547,2.3684,1236.0,0.0,1.0,1
8,1776,0.0,0.4835,0.0,0.0,0
689,4842,6.4119,1088.0,0.1882,0.8118,1
1314,2421,4.2243,1082.0,0.0,1.0,1
19,3978,12.2117,261.25,0.0075,0.9925,0
29,5473,7.2076,71.1429,0.0093,0.9907,0
32,974,2.625,29.0,0.0,1.0,0
10,6396,8.623,3.6617,0.0397,0.9603,0
19,2711,12.934,106.8889,0.2708,0.7292,0
105,5897,10.2818,4.7253,0.0783,0.9217,0
34,5319,6.0429,286.3333,0.0341,0.9659,0
2,2783,5.9059,846.0,0.0667,0.9333,0
857,4743,5.5446,1.129,0.0,1.0,1
24,5639,6.0886,38.8571,0.0213,0.9787,0
30,2262,7.1048,5.7299,0.2045,0.7955,0
6,4520,33.0503,774.0,0.2029,0.7971,0
14,3681,2.6791,0.4512,0.1111,0.8889,0
19,5731,8.094,751.0,0.0315,0.9685,0
0,2788,9.4326,0.6547,0.125,0.875,0
83,4915,2.7496,39.0,0.1351,0.8649,0
1208,4527,1.1296,38.0556,0.0,1.0,1
22,5392,3.387,673.0,0.22,0.78,0
1,5980,5.3138,0.6204,0.0345,0.9655,0
4,2013,16.8744,5.2283,0.0968,0.9032,0
10,2979,3.6782,0.614,0.0333,0.9667,0
76,5956,6.8684,33.1579,0.0,1.0,0
6,2696,14.9026,125.2,0.0091,0.9909,0
