login,days_since_last_activity,account_age_days,repos_per_year,followers_following_ratio,active_repo_ratio,inactive_repo_ratio,avg_stars_per_repo,avg_forks_per_repo,repo_activity_density,repository_maintenance_ratio
FrnandMG,656,5037,0.3626,0.2613,0.0,1.0,0.0,0.0,0.0,0.0
Pedvera,22,3477,0.6303,0.9355,0.8333,0.1667,0.0,0.0,0.5252,0.8333
cameraphp,4,5304,0.482,1.2083,1.0,0.0,0.0,0.0,0.482,0.0
rdcaceres,3612,3735,0.489,0.6905,0.0,1.0,0.6,0.2,0.0,0.0
diegostaPy,81,2232,6.0548,14.5,0.1351,0.8649,0.8378,0.3514,0.8182,0.1622
da21nny,46,3326,2.0865,0.5714,0.7895,0.2105,0.0,0.0,1.6472,0.5789
noguerajulioces,7,3380,8.4288,0.2276,0.0769,0.9231,0.0256,0.0256,0.6484,0.0256
raczajko,9,4209,0.6074,2.1538,0.1429,0.8571,1.4286,0.4286,0.0868,0.1429
jhabriel,5,4112,2.3095,0.5,0.0769,0.9231,1.4615,0.4231,0.1777,0.1154
rodmacPy,946,1345,12.4918,1.0,0.0,1.0,0.0435,0.0,0.0,0.0
rubenlop88,114,5500,1.793,4.6667,0.037,0.963,0.2593,0.2222,0.0664,0.0741
nicolasvargaszz,6,2212,5.2839,0.56,0.2188,0.7812,0.25,0.125,1.1559,0.25
ldbenitez,4,4508,0.2431,0.4375,0.3333,0.6667,0.6667,0.0,0.081,0.0
gabigonzalz,18,1288,8.791,1.5556,0.0323,0.9677,0.0968,0.0323,0.2836,0.0323
luisrpavanello,11,1547,12.5134,1.0,0.0755,0.9245,0.0189,0.0,0.9444,0.0189
rodrigovelazq,5,4832,1.0583,0.359,0.0,1.0,0.5,0.0,0.0,0.0
alexisirala,1,3146,1.3932,0.4828,0.4167,0.5833,0.3333,0.0,0.5805,0.4167
ArielAyala,15,3452,8.7821,0.5625,0.0482,0.9518,0.494,0.0602,0.4232,0.012
akirashimosoeda,73,5209,0.1402,1.08,0.0,1.0,0.0,0.5,0.0,0.0
rodrvn,7,1365,3.4786,1.125,0.0,1.0,0.8462,0.0,0.0,0.0769
MaxiOru,11,418,20.0975,1.0,0.2174,0.7826,0.0435,0.0435,4.369,0.0435
rolisanchez,16,4447,3.9424,0.7105,0.0208,0.9792,0.5833,0.0625,0.0821,0.0208
apojomovsky,82,4672,6.6452,0.2755,0.1647,0.8353,0.1059,0.0588,1.0945,0.0353
estebanfern,21,2500,4.6752,0.8438,0.0312,0.9688,0.1562,0.0312,0.1461,0.0312
lucvalsal,38,799,16.914,27.0,0.2162,0.7838,0.8919,0.027,3.6571,0.1351
